explainability_type,target_variable,feature_name,spearman_correlation,abs_spearman_correlation,interpretation,source
State-feature Spearman correlation,dt_coordination_opportunity,dt_freight_pressure,-0.4496201043610038,0.4496201043610038,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_cost_sensitivity,-0.42522945345534324,0.42522945345534324,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_base_service,-0.3674391830927839,0.3674391830927839,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_service_gap,0.3674391830871169,0.3674391830871169,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_seller_pressure,0.31163539311641275,0.31163539311641275,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_service_pressure,0.30991775566619695,0.30991775566619695,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_delay_service_graph,0.28795828423527253,0.28795828423527253,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_demand_pressure,0.2625319691977751,0.2625319691977751,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_state_pressure_index,0.24686239864735254,0.24686239864735254,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_high_pressure_flag,0.23389380133288296,0.23389380133288296,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_base_risk,0.20733459634280185,0.20733459634280185,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_delivery_pressure,0.1902148508736816,0.1902148508736816,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_entity_graph_risk,0.18599870564888596,0.18599870564888596,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_value_pressure,-0.14714131365051583,0.14714131365051583,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_low_pressure_flag,-0.1300168481792077,0.1300168481792077,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_status_pressure,0.12048234869107094,0.12048234869107094,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_order_complexity,0.10103591812623738,0.10103591812623738,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_base_delay,-0.09963775835436714,0.09963775835436714,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_risk_delay_pressure,0.07045964842727437,0.07045964842727437,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_profit_proxy,0.061179451098529083,0.061179451098529083,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_route_pressure,0.030552555301979503,0.030552555301979503,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_coordination_opportunity,dt_payment_pressure,0.01979963046610675,0.01979963046610675,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_profit_proxy,dt_state_pressure_index,-0.8691561404617468,0.8691561404617468,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_profit_proxy,dt_base_risk,-0.8114939460625022,0.8114939460625022,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_profit_proxy,dt_risk_delay_pressure,-0.8112839400971751,0.8112839400971751,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_profit_proxy,dt_base_cost,-0.745049572265193,0.745049572265193,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_profit_proxy,dt_high_pressure_flag,-0.7179580897719501,0.7179580897719501,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_profit_proxy,dt_low_pressure_flag,0.6843967738037859,0.6843967738037859,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_profit_proxy,dt_cost_graph_pressure,-0.6717126013846499,0.6717126013846499,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_profit_proxy,dt_base_delay,-0.6420737169602123,0.6420737169602123,moderate_negative,Step 20 actual digital-twin state dataset
