alpha,w_low,w_moderate,w_high,valid_accuracy,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm,candidate_feature_set
0.85,1.35,1.35,1.0,0.6476475367456976,0.6380558062596352,0.6473697669559559,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.9,1.0,1.0,0.6497525666592806,0.6380545687298301,0.6486032104367738,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.1,1.1,0.64639190486742,0.6380515034054478,0.6453173207790753,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.8,1.1,1.1,0.6443607356525592,0.6380464711532842,0.6431068268650615,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.1,0.9,0.6484230740822808,0.6380347117160493,0.6479556910696306,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.2,1.2,1.1,0.6504911736465027,0.6380202313765414,0.6496822085720284,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.2,1.2,1.1,0.650232661200975,0.6379988458572411,0.6494532644759298,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.1,1.0,0.6500849398035305,0.6379794724520131,0.6493287703227568,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.0,0.9,0.6501588005022527,0.6379770649258841,0.6494012918319437,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.1,0.8,0.6473890243001699,0.6379704937672724,0.6471485799915788,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.0,1.0,0.648829307925253,0.6379655583155291,0.6477776877000182,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.35,1.35,0.6462072531206146,0.6379395183718143,0.6451262825774827,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.2,1.2,0.8,0.6466504173129478,0.6379364207073297,0.6465362650228818,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.35,1.35,0.9,0.6466504173129478,0.6379364207073297,0.6465362650228818,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.0,0.9,0.6499002880567251,0.6378986991735295,0.6491640935523043,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.35,0.8,0.6386365315015881,0.6378599546229474,0.6387612318667883,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.1,1.1,0.6490508900214196,0.637859108633902,0.647995943598109,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.35,1.35,0.6438067804121427,0.6378553985704922,0.6426671830694052,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.2,1.2,0.649198611418864,0.6378198014902541,0.6481510558199992,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.8,1.1,0.9,0.6403722579215599,0.637791994199518,0.639861562171533,XGBoost-RGC,XGBoost,RGC-StrictContext
